0,150,1
150,210,2
210,270,4
270,320,3
320,450,1
450,510,2
510,570,4
570,620,3
620,750,1
750,810,2
810,870,4
870,920,3
920,990,1
990,1600,0
1600,1800,3
1800,2000,4
2000,2250,1
2250,2310,3
2310,2370,4
2370,2420,2
2420,2550,1
2550,2610,3
2610,2670,4
2670,2720,2
2720,2850,1
2850,2910,3
2910,2970,4
2970,3020,2
3020,3150,1
3150,3210,2
3210,3260,3
3260,3300,2
3300,3450,1
3450,3510,2
3510,3560,3
3560,3600,2
3600,3760,1
3760,3890,2
3890,3990,1
3990,4000,2
4000,4010,3
4010,4020,6
4020,4040,0
4040,4050,2
4050,4060,0
4060,4070,1
4070,4080,3
4080,4090,0
4090,4100,6
4100,4110,3
4110,4120,0
4120,4130,4
4130,4140,3
4140,4150,6
4150,4170,2
4170,4990,1
4990,5600,0
5600,5800,3
5800,5930,4
5930,5940,5
5940,5950,6
5950,5960,4
5960,5970,5
5970,6000,4
6000,6990,1
6990,7600,0
7600,7800,3
7800,7810,5
7810,7850,4
7850,7860,6
7860,7880,5
7880,7910,4
7910,7920,6
7920,7930,4
7930,7940,5
7940,7950,4
7950,7960,6
7960,7980,4
7980,7990,5
7990,8000,4
8000,8990,1
8990,9600,0
9600,9800,3
9800,9810,5
9810,9850,4
9850,9860,6
9860,9880,5
9880,9910,4
9910,9920,6
9920,9930,4
9930,9940,5
9940,9950,4
9950,9960,6
9960,9980,4
9980,9990,5
9990,10000,4
10000,10990,1
10990,11600,0
11600,11800,3
11800,12000,4
12000,12150,1
12150,12210,2
12210,12270,4
12270,12320,3
12320,12450,1
12450,12510,2
12510,12570,4
12570,12620,3
12620,12750,1
12750,12810,2
12810,12870,4
12870,12920,3
12920,12990,1
12990,13600,0
13600,13800,3
13800,14000,4
14000,14250,1
14250,14310,3
14310,14370,4
14370,14420,2
14420,14550,1
14550,14610,3
14610,14670,4
14670,14720,2
14720,14850,1
14850,14910,3
14910,14970,4
14970,15020,2
15020,15150,1
15150,15210,2
15210,15260,3
15260,15300,2
15300,15450,1
15450,15510,2
15510,15560,3
15560,15600,2
15600,15760,1
15760,15890,2
15890,15990,1
15990,16000,2
16000,16010,3
16010,16020,6
16020,16040,0
16040,16050,2
16050,16060,0
16060,16070,1
16070,16080,3
16080,16090,0
16090,16100,6
16100,16110,3
16110,16120,0
16120,16130,4
16130,16140,3
16140,16150,6
16150,16170,2
16170,16990,1
16990,17600,0
17600,17800,3
17800,17930,4
17930,17940,5
17940,17950,6
17950,17960,4
17960,17970,5
17970,18000,4
18000,18990,1
18990,19600,0
19600,19800,3
19800,19810,5
19810,19850,4
19850,19860,6
19860,19880,5
19880,19910,4
19910,19920,6
19920,19930,4
19930,19940,5
19940,19950,4
19950,19960,6
19960,19980,4
19980,19990,5
19990,20000,4
20000,20990,1
20990,21600,0
21600,21800,3
21800,21810,5
21810,21850,4
21850,21860,6
21860,21880,5
21880,21910,4
21910,21920,6
21920,21930,4
21930,21940,5
21940,21950,4
21950,21960,6
21960,21980,4
21980,21990,5
21990,22000,4
22000,22990,1
22990,23600,0
23600,23800,3
23800,24000,4
